"region","Nov1_20%","Nov1_50%","Nov1_80%","Oct7_20%","Oct7_50%","Oct7_80%","Sep15_20%","Sep15_50%","Sep15_80%"
"ILLINOIS","May-13","May-24","Jun-03","Apr-19","May-02","May-13","Mar-29","Apr-06","Apr-14"
"INDIANA","May-18","May-29","Jun-08","Apr-21","May-06","May-18","Mar-31","Apr-09","Apr-17"
"IOWA","Jun-03","Jun-14","Jun-23","May-12","May-25","Jun-05","Apr-10","Apr-24","May-07"
"KANSAS","Apr-27","May-09","May-20","Mar-30","Apr-11","Apr-24","Mar-06","Mar-12","Mar-20"
"MICHIGAN","Jun-12","Jun-22","Jul-01","May-22","Jun-03","Jun-14","Apr-19","May-04","May-17"
"MINNESOTA","Jun-22","Jul-02","Jul-09","Jun-07","Jun-16","Jun-25","May-10","May-21","Jun-02"
"MISSOURI","May-02","May-14","May-27","Apr-08","Apr-19","May-03","Mar-18","Mar-25","Apr-01"
"NEBRASKA","May-20","May-31","Jun-12","Apr-25","May-08","May-22","Mar-27","Apr-07","Apr-22"
"NORTH DAKOTA","Jun-26","Jul-06","Jul-13","Jun-13","Jun-22","Jun-30","May-22","May-31","Jun-12"
"OHIO","May-20","May-31","Jun-10","Apr-22","May-07","May-18","Mar-31","Apr-08","Apr-16"
"SOUTH DAKOTA","Jun-12","Jun-23","Jul-01","May-26","Jun-06","Jun-15","Apr-25","May-08","May-20"
"WISCONSIN","Jun-22","Jul-03","Jul-11","Jun-07","Jun-18","Jun-27","May-07","May-22","Jun-04"
